compound,LogP,num_ring,tc,num_hba,num_hbd,A_E_HOMO (a.u.),A_E_LUMO (a.u.),A_Molweight (Da),A_Total Atoms (n),A_Volume (Angstrom^3),A_Surface area (Bohr^2),A_Positive surface area (Bohr^2),A_Negative surface area (Bohr^2),A_Electric Density (g/cm^3),A_Potential Minimal value (kcal/mol),A_Potential Maximal value (kcal/mol),A_Internal charge separation (a.u.),A_MPI (eV),A_Nonpolar surface area (Angstrom^2),A_Polar surface area (Angstrom^2),A_Overall skewness (),A_Sphericity (),Vertical IP,Vertical EA,Mulliken electronegativity,Chemical potential,Hardness,Softness,Nucleophilicity index,Electrophilicity index,ESP_MAX_O_e,ESP_Pi_O_e,ALIE_AVG_O_e,LEA_MAX_O_e,rho_All_AVG_O_e,EDensity_MIN_O_e,EDensity_MAX_O_e,smiles,Metal,delta_G,Ionic_Radius,Atomic_Number,electronegativity,MW,coord_num,FirstIE,SecondIE,ThirdIE
CID_22226185,3.5541000000000027,0,82.06,5,1,-0.269569,-0.051302,307.30034,44,2662.69039,1228.36679,0.0,1228.36679,1.2933,-138.42521,-11.27952,0.04445704,2.76949172,0.0,343.98,-0.7400521146,0.7563,0.184772,-0.092342,0.046215,-0.046215,0.277114,3.608629,0.216992,0.003854,-113.096147375,3.5827825,9.866876999999999,-19.865774925,-0.00265648,0.003982626499999999,0.0040085875,CCCCCC(CC)OP(=O)(O)OC(C)OC(=O)C=C,deltaG_Mn_4,-0.0637419399997725,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_139596254,2.5185200000000014,1,85.19,5,1,-0.234495,-0.097389,230.13484,24,1728.1337,871.34002,0.0,871.34002,1.4923,-126.2361,-26.81127,0.03647056,3.23466436,0.0,244.0,-0.3492460562,0.7992,,,,,,,,,-99.484019395,4.0267755,10.227515499999999,-19.777986730000002,-0.002670745,0.003981763500000001,0.0040103875,CC1=C(C=CC(=C1)OP(=O)(O)OC)N=O,deltaG_Mn_4,-0.0403676400003405,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_60916315,2.7997000000000014,1,49.33,2,2,-0.211476,0.005115,226.33566,40,2232.17367,1060.06055,0.0,1060.06055,1.1362,-153.70379,-27.85225,0.03907279,3.06561195,0.0,296.85,-1.0530486253,0.7792,0.124584,-0.114366,0.005109,-0.005109,0.23895,4.184968,0.281071,5.5e-05,-112.940721335,6.3466115,8.850265499999999,-16.39696683,-0.003187555,0.003991103500000001,0.004009308499999999,CCCC1CCC(CC1)(C(=O)O)NCCC,deltaG_Mn_4,-0.0891575880002619,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_87128429,1.2559,0,85.19,5,1,-0.267912,-0.001921,222.15587,27,1774.10187,872.89314,0.0,872.89314,1.4032,-137.71966,-31.35796,0.04111688,3.26557951,0.0,244.43,-0.7554782949,0.8119,0.188269,-0.123248,0.032511,-0.032511,0.311517,3.210096,0.217299,0.001696,-112.86586992,3.7378635,9.7822695,-19.338393205,-0.00273081,0.0039888630000000005,0.004010517,CCOP(=O)(O)OCCCCN=C=O,deltaG_Mn_4,-0.0617638699998224,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_25215582,4.237600000000003,0,46.53,2,1,-0.229982,-0.000801,245.2755,38,2323.56889,1100.46011,0.0,1100.46011,1.1829,-146.77655,-32.75651,0.04199872,3.11302414,0.0,308.16,-1.0551033016,0.7709,0.154102,-0.122194,0.015954,-0.015954,0.276296,3.619309,0.235451,0.000461,-116.19317119499999,4.1580580000000005,9.4576095,-18.55329446,-0.00260829,0.003985235,0.004009022,CCCCC(=C=C(C)CC)P(=O)(O)OCC,deltaG_Mn_4,-0.075106910000386,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_89023607,3.497200000000002,0,55.760000000000005,3,1,-0.254875,0.002811,237.25344,37,2155.54359,999.34644,0.0,999.34644,1.2334,-144.01562,-33.62285,0.04168155,3.22288222,0.0,279.85,-0.9443590167,0.8075,0.166796,-0.125684,0.020556,-0.020556,0.292481,3.41903,0.233606,0.000722,-118.43394667999999,3.749223,9.6444615,-19.021113964999998,-0.0027430700000000002,0.0039876255,0.0040090925,CCC(C)OP(=O)(O)OC(C)(CC)CC,deltaG_Mn_4,-0.0751971200004391,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_87156068,4.318400000000003,2,46.53,2,1,-0.224381,-0.001146,267.28109,38,2324.7377,1073.48932,0.0,1073.48932,1.2884,-141.67002,-28.83737,0.04141352,3.0641799,0.0,300.61,-0.8213389427,0.7906,0.157923,-0.113553,0.022185,-0.022185,0.271477,3.683559,0.230842,0.000906,-108.656237325,5.1177785,9.6298415,-18.71083101,-0.00268355,0.0039890125,0.004008637,CCP(=O)(O)OC1=CC=CC=C1C2CCCCC2,deltaG_Mn_4,-0.0667953700005909,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_172222438,3.0543000000000013,1,46.53,2,1,-0.232474,-0.00766,237.21198,30,2031.08194,947.12613,0.0,947.12613,1.3087,-139.82835,-7.62192,0.04077618,3.19204614,0.64,264.58,-0.6665343197,0.8189,0.166636,-0.116303,0.025166,-0.025166,0.28294,3.534324,0.223497,0.001119,-106.66197058,5.2626954999999995,9.6617855,-18.72008083,-0.0026725250000000002,0.003984362,0.004008221,C#CCCCCP(=O)(O)OC1=CC=CC=C1,deltaG_Mn_4,-0.0588944500002526,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_55133359,2.17782,1,57.61,2,1,-0.230764,-0.031213,248.29815,36,2215.73051,1044.86616,0.0,1044.86616,1.2557,-145.09197,-24.43087,0.03695455,3.16292326,0.0,292.59,-0.6865923068,0.7866,0.149704,-0.122619,0.013543,-0.013543,0.272323,3.672106,0.247539,0.000337,-98.096378755,6.539204,9.408736000000001,-18.848076955,-0.0030618850000000003,0.003987988,0.0040092575,CC1=CC(=CC=C1)C(=O)N(CC(C)C)CC(=O)O,deltaG_Mn_4,-0.0676305059996593,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_11723025,2.613900000000002,0,96.22000000000001,5,3,-0.264863,0.003713,311.3321,48,2781.25472,1378.9772,0.0,1378.9772,1.2544,-132.60354,-15.05001,0.04368662,2.63647467,0.0,386.15,-0.6122541083,0.6936,0.187497,-0.100884,0.043306,-0.043306,0.288381,3.467629,0.212265,0.003252,-105.276920265,3.99485,10.028416,-20.384892645,-0.002711945,0.0039852525,0.0040104584999999995,CCCCCCCCCCOP(=O)(O)OCC(CO)O,deltaG_Mn_4,-0.0348239800002829,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_140364548,0.4083999999999998,0,108.36000000000001,7,1,-0.297257,-0.059863,237.08106,21,1664.52034,836.71289,0.0,836.71289,1.5961,-133.06895,-8.72645,0.0559034,3.41964693,0.65,233.66,0.1728213916,0.8118,0.210109,-0.09718,0.056465,-0.056465,0.307288,3.254274,0.192379,0.005188,-104.560655635,2.9598645,10.5340515,-19.174091009999998,-0.00251345,0.003979807,0.0040097794999999995,C=CC(=O)OOP(=O)(O)OOC(=O)C=C,deltaG_Mn_4,-0.013233700000228,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_141704641,3.462500000000003,0,86.99000000000001,4,3,-0.247333,0.003276,323.38593,53,3034.08801,1336.81554,14.47578,1322.33976,1.1944,-146.09168,15.81172,0.04186225,2.60556755,5.85,368.5,-0.9665116249,0.7582,0.1601,-0.098757,0.030672,-0.030672,0.258858,3.863128,0.240754,0.001817,-114.68292678,4.637536000000001,9.328965,-18.021227015,-0.0028325449999999997,0.0039855735,0.004007914,CCCCCCP(=O)(O)OCCCCCCCC(CO)O,deltaG_Mn_4,-0.0771572700002707,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_123504380,1.8973,3,37.3,1,1,-0.224263,0.003526,153.19866,24,1411.07174,686.92678,0.0,686.92678,1.2166,-158.98025,-42.15048,0.04628695,3.69033106,0.0,192.36,-0.7132469327,0.8857,0.130185,-0.135761,-0.002788,0.002788,0.265946,3.760159,0.275269,1.5e-05,-116.91152411499999,6.165131499999999,9.1782505,-17.44070036,-0.0031563700000000004,0.0039841075,0.0040086440000000004,CC1(CCC2CC1C2)C(=O)O,deltaG_Mn_4,-0.084099943999945,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_87182331,5.688000000000007,0,37.3,1,1,-0.222527,0.000495,289.41433,53,2905.38293,1260.93203,0.0,1260.93203,1.1163,-152.57379,-27.47357,0.03728887,2.82887036,0.0,353.1,-1.3449090104,0.7809,0.140991,-0.109884,0.015554,-0.015554,0.250875,3.986043,0.24972,0.000482,-118.06633164499999,5.247152,8.995163999999999,-17.350559609999998,-0.00292151,0.003990327,0.0040090279999999996,CCCCC(C)(CC)P(=O)(CC(C)CC(C)(C)C)O,deltaG_Mn_4,-0.0912543999995705,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_13736956,3.505200000000002,0,37.3,2,1,-0.232423,0.00319,209.26618,30,1940.37114,961.48295,0.0,961.48295,1.2085,-143.24952,-22.59045,0.04612455,3.11574769,0.0,269.24,-0.6754563816,0.7825,0.153987,-0.118429,0.017779,-0.017779,0.272416,3.670859,0.247273,0.00058,-108.975657575,5.1007485,9.472897,-18.056262235,-0.002606045,0.003988821,0.004009091,CCCCCCP(=O)(O)SCC,deltaG_Mn_4,-0.0639663400004337,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_87175467,1.7796000000000003,1,75.99000000000001,4,2,-0.228656,-0.009468,259.21593,33,2106.70755,950.52771,0.0,950.52771,1.3788,-141.83847,-23.19356,0.04170455,3.23706967,0.0,266.17,-0.541224152,0.8361,0.161086,-0.11854,0.021273,-0.021273,0.279626,3.576206,0.228864,0.000809,-110.770448415,4.648434,9.574266000000001,-18.85740733,-0.00273457,0.0039838145,0.004008821500000001,CCOP(=O)(CC1=CC=CC=C1OCCO)O,deltaG_Mn_4,-0.0699767700000393,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_44439600,2.4354000000000005,1,66.76,3,2,-0.2231,-0.015558,221.22968,29,1910.70377,970.50625,0.0,970.50625,1.2975,-156.62158,-3.67465,0.05547939,2.95475518,1.35,270.42,-0.5675894335,0.7673,0.146398,-0.100017,0.023191,-0.023191,0.246414,4.058203,0.272551,0.001091,-114.128822595,6.241459,9.096996,-16.222511175,-0.00305897,0.0039857009999999995,0.004009204000000001,CC(=CCOC1=C(C=C(C=C1)C(=O)O)O)C,deltaG_Mn_4,-0.0999247919996833,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_3800424,2.3940999999999995,2,50.19,3,1,-0.241232,-0.07336,204.2253,20,1608.93159,830.51126,0.0,830.51126,1.4224,-154.08112,-9.11538,0.05612561,3.20902044,0.54,232.03,-0.3488402051,0.7995,0.155808,-0.091338,0.032235,-0.032235,0.247145,4.046201,0.252849,0.002102,-113.035533045,6.1614284999999995,9.486692999999999,-17.836707335,-0.00310021,0.0039856945,0.0040085555,C1=CC=C2C(=C1)N=C(S2)C=CC(=O)O,deltaG_Mn_4,-0.0695734180005729,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_2944809,1.9173,1,78.43,2,3,-0.223633,-0.010908,235.25956,32,2030.0233,999.55845,0.0,999.55845,1.2986,-142.42472,-13.56705,0.03814315,3.06558969,0.0,279.9,-0.4507063569,0.7757,0.150222,-0.108801,0.02071,-0.02071,0.259023,3.860663,0.253435,0.000828,-100.418630405,7.053598,9.345716,-18.04800017,-0.00307755,0.0039917189999999995,0.0040104015,CC(C)C(C(=O)O)NC(=O)NC1=CC=CC=C1,deltaG_Mn_4,-0.0736181499996746,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_22742930,1.5716999999999994,2,73.32000000000001,2,3,-0.209302,-0.017735,176.14919,19,1382.71476,712.40897,10.03218,702.37679,1.4276,-160.80662,7.08047,0.06235607,3.58671027,10.14,189.35,0.1010234483,0.8425,0.13922,-0.10616,0.01653,-0.01653,0.24538,4.07531,0.267221,0.000557,-123.0533924,5.9578315,9.3574095,-17.3748798,-0.00306155,0.0039868435,0.004010079999999999,C1=CNC2=C1C(=CC(=C2)C(=O)O)O,deltaG_Mn_4,-0.0737139759999081,0.66,25,1.55,54.94,4,7.43,15.63,33.66
