compound,LogP,num_ring,tc,num_hba,num_hbd,A_E_HOMO (a.u.),A_E_LUMO (a.u.),A_Molweight (Da),A_Total Atoms (n),A_Volume (Angstrom^3),A_Surface area (Bohr^2),A_Positive surface area (Bohr^2),A_Negative surface area (Bohr^2),A_Electric Density (g/cm^3),A_Potential Minimal value (kcal/mol),A_Potential Maximal value (kcal/mol),A_Internal charge separation (a.u.),A_MPI (eV),A_Nonpolar surface area (Angstrom^2),A_Polar surface area (Angstrom^2),A_Overall skewness (),A_Sphericity (),Vertical IP,Vertical EA,Mulliken electronegativity,Chemical potential,Hardness,Softness,Nucleophilicity index,Electrophilicity index,ESP_MAX_O_e,ESP_Pi_O_e,ALIE_AVG_O_e,LEA_MAX_O_e,rho_All_AVG_O_e,EDensity_MIN_O_e,EDensity_MAX_O_e,smiles,Metal,delta_G,Ionic_Radius,Atomic_Number,electronegativity,MW,coord_num,FirstIE,SecondIE,ThirdIE
CID_13318994,1.0589,1,40.540000000000006,1,1,-0.218638,-0.016466,184.15251,23,1576.69176,783.08173,0.0,783.08173,1.3088,-148.21289,-27.9871,0.04209826,3.60611035,0.0,219.29,-0.5041194203,0.8366,0.138957,-0.131845,0.003556,-0.003556,0.270802,3.692741,0.256318,2.3e-05,-117.079237495,4.8971385,9.3672795,-18.402399950000003,-0.00276186,0.0039877145,0.0040078905,CN(C)P(=O)(C1=CC=CC=C1)O,deltaG_Ni_4,-0.0563607999999931,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88242618,2.1193,1,66.76,3,2,-0.248424,-0.001239,177.1152,21,1403.08645,708.4465,0.0,708.4465,1.4145,-137.93541,-31.18827,0.04893553,3.64127013,0.0,198.39,-0.1023130198,0.8555,0.172703,-0.127496,0.022603,-0.022603,0.3002,3.331117,0.228855,0.000851,-106.57599529000001,4.7757735,9.874891000000002,-19.562918435,-0.00267013,0.003988025,0.004008162,C1CCC(=CC1)P(=O)(O)OO,deltaG_Ni_4,-0.0239318539997839,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_169983104,1.9141,0,74.22,5,1,-0.265334,0.004236,297.30548,45,2686.53544,1374.65987,0.0,1374.65987,1.2401,-145.70306,-8.29427,0.05131282,2.45156256,2.65,382.3,-0.7960612119,0.6799,0.171674,-0.087635,0.042019,-0.042019,0.25931,3.856391,0.236313,0.003404,-113.07421508,4.960685,9.4731745,-18.229103424999998,-0.00265918,0.003987384,0.0040090615,CC(C)CCOCCOCCOCCOP(=O)(C)O,deltaG_Ni_4,-0.0403853300003902,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_13433026,2.4554,2,59.42,3,1,-0.232131,-0.034322,228.22389,27,1869.73587,921.35254,0.0,921.35254,1.3678,-148.29154,-17.98814,0.04575276,3.32306856,0.0,258.0,-0.2561058553,0.7966,0.147794,-0.112561,0.017617,-0.017617,0.260355,3.840905,0.257183,0.000596,-107.51851929,5.681046,9.2594515,-17.7876694,-0.00294752,0.0039850215,0.004009601,COC1=CC=CC=C1C2=C(C=CN=C2)C(=O)O,deltaG_Ni_4,-0.0531859760005772,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_20196937,2.3985000000000003,0,46.53,2,1,-0.256662,0.004395,179.17418,27,1669.12777,866.62596,0.0,866.62596,1.2029,-148.97333,-24.49609,0.04938686,3.31286588,0.0,242.68,-0.5573867651,0.7852,0.158209,-0.12352,0.017344,-0.017344,0.281729,3.549515,0.248236,0.000534,-118.91025082499999,4.4360535,9.373507499999999,-18.38824838,-0.00274704,0.0039796855,0.0040089905,CCCCCCP(=O)(O)OC,deltaG_Ni_4,-0.0564944020006805,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_73603922,1.8475000000000006,1,77.76,3,3,-0.22172,-0.006896,229.18991,29,1873.0446,882.47197,0.0,882.47197,1.3712,-138.90564,-16.41568,0.03723717,3.39371916,0.0,247.12,-0.4263464803,0.8327,0.150683,-0.129038,0.010822,-0.010822,0.279721,3.574989,0.238288,0.000209,-110.024602245,3.7744644999999997,9.6669605,-19.564442550000003,-0.0028615000000000003,0.0039822174999999994,0.0040083105,CCP(=O)(C(C)(C1=CC=CC=C1O)O)O,deltaG_Ni_4,-0.0353926600000704,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87884322,1.7931999999999997,1,75.99000000000001,4,2,-0.258162,-0.012147,203.10946,21,1518.16986,773.75414,0.0,773.75414,1.4992,-134.28134,-21.35122,0.0482937,3.51003508,0.0,216.67,-0.0528932415,0.8256,0.186368,-0.121832,0.032268,-0.032268,0.3082,3.244643,0.215398,0.001689,-110.095534415,3.3478079999999997,10.121413,-19.788879275,-0.00260293,0.003980399,0.0040088645,C1=CC=C(C=C1)COP(=O)(O)OO,deltaG_Ni_4,-0.0326930340006583,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_54093270,1.2426,0,72.83000000000001,4,1,-0.274218,-0.047912,193.11461,22,1522.91266,772.90579,0.0,772.90579,1.421,-133.88927,-31.73082,0.041554,3.62477842,0.0,216.44,-0.1520796107,0.8282,,,,,,,,,-106.98115855500001,3.2472399999999997,10.066283,-19.44352827,-0.00261429,0.0039872745000000005,0.0040094495,CCOP(=O)(O)OC(=O)C(=C)C,deltaG_Ni_4,-0.0389261219997933,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87269292,2.2030199999999995,1,72.55,3,2,-0.213315,-0.011415,242.23177,33,2085.98737,1004.05651,0.0,1004.05651,1.3013,-144.96117,-22.22352,0.04359009,3.23628947,0.0,281.16,-0.665295968,0.7863,0.14881,-0.118921,0.014945,-0.014945,0.267731,3.735095,0.243139,0.000417,-113.355042725,4.8082210000000005,9.59637,-19.116355634999998,-0.00255969,0.0039864165,0.00400921,CCC(C)OP(=O)(C1=C(C=C(C=C1)C)N)O,deltaG_Ni_4,-0.0440395699997679,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_63192008,1.4562000000000002,1,71.44,3,1,-0.233719,0.004118,233.30476,32,1939.65998,903.21889,0.0,903.21889,1.3479,-133.80223,-39.66769,0.03358017,3.27324254,0.0,252.93,-0.4976877249,0.8327,0.16264,-0.127154,0.017743,-0.017743,0.289794,3.450729,0.246382,0.000543,-103.379557365,4.132193,9.2787165,-18.691361960000002,-0.0033868450000000003,0.003987844,0.0040081475,CS(=O)(=O)CCCC1(CCCC1)C(=O)O,deltaG_Ni_4,-0.0813802999998642,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_138549,1.6733,0,37.3,1,1,-0.236871,0.00495,127.16131,20,1292.59807,703.44283,0.0,703.44283,1.1024,-158.59724,-29.84397,0.0555412,3.54664855,0.0,196.98,-0.4463863193,0.8158,0.13689,-0.128426,0.004232,-0.004232,0.265315,3.7691,0.275683,3.4e-05,-116.720360785,6.3726915,9.2722685,-17.078024595000002,-0.003124625,0.003982835,0.0040095165,CC(C)C=CCC(=O)O,deltaG_Ni_4,-0.0657392419998359,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_73837185,5.343300000000005,0,46.53,2,1,-0.222539,0.004009,297.45351,54,3064.14841,1526.32663,0.0,1526.32663,1.0878,-155.23246,-8.9249,0.05028624,2.28933118,0.89,426.53,-1.0303745085,0.6684,0.132368,-0.086175,0.023097,-0.023097,0.218543,4.575762,0.279771,0.00122,-116.10480139,5.819654,8.9386775,-17.097656085,-0.0031319349999999998,0.003986284,0.0040082625,CCCCCCCCCCC=CCCCC(C(=O)O)OC,deltaG_Ni_4,-0.0559204500000305,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_20975276,2.456200000000001,0,55.760000000000005,5,1,-0.228588,-0.018352,217.22331,21,1640.12333,831.10818,0.0,831.10818,1.4841,-134.86048,-33.44351,0.04319381,3.56175088,0.0,232.73,-0.2106623636,0.8092,0.15279,-0.130613,0.011088,-0.011088,0.283403,3.528545,0.241672,0.000217,-107.681959465,3.2578864999999997,9.997812,-19.107301309999997,-0.0023564099999999998,0.003980145500000001,0.0040093235,CCSOP(=O)(O)OSCC,deltaG_Ni_4,-0.0350227700005234,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_84009794,2.4572000000000003,2,40.540000000000006,3,1,-0.226097,0.002138,256.38456,39,2326.83393,1086.85711,0.0,1086.85711,1.2347,-157.46151,-15.97196,0.0485315,2.78125245,0.0,304.35,-0.9590076467,0.7813,0.133776,-0.097506,0.018135,-0.018135,0.231281,4.323737,0.281286,0.000711,-115.256723145,6.527225,8.860215,-15.922565245,-0.0031841200000000004,0.003988332,0.004008652,CN1CCC(CC1)SC2CCC(CC2)C(=O)O,deltaG_Ni_4,-0.0573235599997588,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_67333665,3.1806000000000014,1,57.53,2,2,-0.230714,-0.006137,255.27036,37,2255.98324,1047.9111,0.0,1047.9111,1.268,-145.5787,-33.86793,0.03578388,3.2026866,0.0,293.44,-0.9751529538,0.7938,0.15492,-0.125418,0.014751,-0.014751,0.280339,3.567114,0.232435,0.000388,-104.84293378,6.4850645,9.395154000000002,-19.060114495,-0.00270242,0.003985414499999999,0.004008668999999999,CCCCP(=O)(C(CCO)C1=CC=CC=C1)O,deltaG_Ni_4,-0.0586308599999938,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_154246179,1.728,1,75.63000000000001,3,2,-0.246313,-0.01285,228.16206,26,1809.97862,921.37207,0.0,921.37207,1.4126,-135.77824,-21.98945,0.04497387,3.33553815,0.0,258.01,-0.272934848,0.7795,0.166107,-0.118084,0.024012,-0.024012,0.28419,3.518769,0.231434,0.001014,-102.612368435,4.5028655,9.860733,-19.495415245,-0.002609685,0.00398448,0.0040084974999999995,CNC(=O)P(=O)(O)OCC1=CC=CC=C1,deltaG_Ni_4,-0.0342987399999401,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_70424527,1.6859,1,93.06000000000002,5,2,-0.251928,-0.040548,245.14622,26,1836.60678,928.29281,22.61464,905.67817,1.4957,-135.71023,28.33126,0.04834672,3.34746702,6.44,253.51,0.1461978818,0.7813,0.186641,-0.100571,0.043035,-0.043035,0.287212,3.481753,0.213983,0.003224,-111.090034255,2.640978,10.097864000000001,-19.27403047,-0.002666865,0.003978944999999999,0.0040095185,CCOP(=O)(O)OC(=O)C1=CC=C(C=C1)O,deltaG_Ni_4,-0.0262468400001125,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_165627780,2.5976,1,37.3,1,1,-0.218436,0.004871,167.22528,27,1628.35949,815.32217,0.0,815.32217,1.1508,-156.60849,-30.45285,0.04440999,3.44724926,0.0,228.31,-0.7650173171,0.821,0.127451,-0.127515,-3.2e-05,3.2e-05,0.254966,3.922086,0.278868,0.0,-118.80654314,5.6972439999999995,8.9371675,-16.94703866,-0.003157095,0.003985811,0.0040097985,CC/C=C/C1(CCCC1)C(=O)O,deltaG_Ni_4,-0.0612707440002395,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_16079245,3.388000000000003,3,37.3,1,1,-0.22477,0.001175,227.26022,35,1989.59478,895.50113,0.0,895.50113,1.28,-153.80475,-35.63667,0.04436329,3.27301692,0.0,250.77,-1.0068606681,0.8543,0.138669,-0.125256,0.006706,-0.006706,0.263925,3.788958,0.255055,8.5e-05,-116.208357765,5.508564,9.020904999999999,-17.783502714999997,-0.002838985,0.003985823,0.0040100815,C1CC[C@@H]2[C@H](C1)[C@@H]3CCCC[C@@H]3P2(=O)O,deltaG_Ni_4,-0.0684947700005977,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_69621728,2.471,1,55.760000000000005,3,1,-0.258649,0.00162,207.18432,29,1751.15397,829.3441,0.0,829.3441,1.3258,-146.82777,-31.32545,0.05396031,3.37560271,0.0,232.24,-0.5538541539,0.8472,0.165366,-0.124931,0.020217,-0.020217,0.290297,3.444751,0.239519,0.000704,-120.682806735,3.5108319999999997,9.7723425,-19.96285702,-0.002692795,0.003988037999999999,0.0040089745,CCCC1(C(OP(=O)(O1)O)(C)C)C,deltaG_Ni_4,-0.0446715320001658,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_5320784,2.305440000000001,2,54.370000000000005,2,1,-0.219577,-0.051983,231.26763,32,2002.64268,958.82865,0.0,958.82865,1.2941,-152.76017,-21.31136,0.04567226,3.12769803,0.0,268.5,-0.5947421728,0.8013,0.13595,-0.101804,0.017073,-0.017073,0.237754,4.206031,0.260195,0.000613,-108.984690775,6.7530915,9.3655965,-17.52625977,-0.003112235,0.0039867965000000005,0.0040086995,CC1CC2=C(C1=O)C(=C(C(=C2)C)CC(=O)O)C,deltaG_Ni_4,-0.0580685280001489,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_79531896,2.7997000000000005,2,49.33,2,2,-0.221036,0.003552,238.34639,41,2287.91389,1070.22586,0.0,1070.22586,1.1674,-159.31407,-18.45637,0.05064701,2.81472785,0.0,299.69,-1.0178839327,0.7846,0.129233,-0.10108,0.014076,-0.014076,0.230313,4.341914,0.284987,0.00043,-118.72862209499999,6.3960445,8.820969,-15.755063934999999,-0.0032029800000000002,0.003987786,0.004009987499999999,C1CCC(CC1)NCC2CCC(CC2)C(=O)O,deltaG_Ni_4,-0.0609857640004065,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_19784889,4.134900000000004,1,55.760000000000005,3,1,-0.257269,0.002546,277.31741,44,2518.55536,1141.82723,0.0,1141.82723,1.2339,-144.16132,-30.12332,0.0447945,2.96362889,0.0,319.74,-1.0615001583,0.784,0.168913,-0.114609,0.027152,-0.027152,0.283522,3.527062,0.231464,0.0013,-109.61165503000001,4.190777000000001,9.703862,-18.384964995,-0.0026756899999999997,0.003987554,0.0040099674999999994,CCC(CC)COP(=O)(O)OC1CCCCC1C,deltaG_Ni_4,-0.0589226300003247,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_21419784,4.6707000000000045,0,55.760000000000005,3,1,-0.261629,0.00548,279.33329,46,2667.90275,1345.01866,0.0,1345.01866,1.1733,-143.80229,-20.29409,0.04559748,2.73052537,0.0,376.64,-1.0658363015,0.6916,0.170165,-0.101863,0.034151,-0.034151,0.272027,3.676099,0.232244,0.002144,-115.450874165,3.783006,9.748904499999998,-19.136613885000003,-0.0027234,0.003988671,0.004009449,CCCCCCCOP(=O)(O)OCCCCCC,deltaG_Ni_4,-0.0558894900004816,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_142700347,2.9654000000000007,2,55.760000000000005,3,1,-0.221475,-0.042453,237.16888,26,1840.40777,905.70986,0.0,905.70986,1.4441,-135.56815,-18.25173,0.04531773,3.25999736,0.0,253.62,-0.3160940271,0.8019,0.16207,-0.113705,0.024182,-0.024182,0.275775,3.626142,0.225586,0.00106,-111.18829116500001,3.653061,10.061742,-19.65202533,-0.0026345400000000003,0.0039817329999999995,0.004008945,COP(=O)(O)OC1=CC2=CC=CC=C2C=C1,deltaG_Ni_4,-0.0267369299995152,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_86607752,3.870120000000003,2,46.53,2,1,-0.220192,-0.040048,263.24933,34,2232.11664,1044.94433,0.0,1044.94433,1.3216,-145.1994,-19.02787,0.04300993,3.06162715,0.0,292.61,-0.598966814,0.7904,0.151162,-0.106602,0.02228,-0.02228,0.257764,3.879511,0.236779,0.000963,-115.43165814,4.5080835,9.4428235,-18.14311388,-0.002779535,0.0039883925,0.0040098635,CCOP(=O)(CC1=CC2=C(C=C1)C=C(C=C2)C)O,deltaG_Ni_4,-0.0527921699999751,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_11768978,1.6022,1,37.3,1,1,-0.242784,-0.015947,169.13787,21,1471.62088,736.87628,0.0,736.87628,1.2879,-151.26009,-27.1713,0.04497699,3.64405842,0.0,206.35,-0.5089524762,0.8491,0.165937,-0.132593,0.016672,-0.016672,0.29853,3.349747,0.246499,0.000466,-116.935738495,5.3950905,9.18431,-18.169562945000003,-0.0027907599999999998,0.0039853375,0.0040086589999999995,CCP(=O)(C1=CC=CC=C1)O,deltaG_Ni_4,-0.0564815959999123,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_94882948,2.751800000000001,2,40.54,2,1,-0.193085,0.003116,238.34639,41,2269.98087,1022.87949,0.0,1022.87949,1.1766,-157.22362,-32.01079,0.04080439,3.04474243,0.0,286.44,-1.241357651,0.8166,0.11105,-0.117458,-0.003204,0.003204,0.228508,4.376217,0.282442,2.2e-05,-117.31780241,6.241016,9.0277505,-17.049672735,-0.0031221,0.003985608,0.0040093085,CC1CCC(CC1)(C(=O)O)N(C)CC2CCC2,deltaG_Ni_4,-0.0662590000001728,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_154369317,2.338200000000001,2,81.54,5,1,-0.221181,-0.030613,285.25655,37,2338.39519,1139.32808,0.0,1139.32808,1.367,-145.00026,-22.25995,0.04621898,3.05549317,0.0,319.04,-0.7683271192,0.7478,0.158187,-0.108702,0.024743,-0.024743,0.266888,3.746885,0.228662,0.001147,-106.229980975,4.6953415,9.71601,-19.238826744999997,-0.0026986149999999997,0.003982932,0.0040094685,CCOC1=NC2=C(CCCC2)N=C1OP(=O)(CC)O,deltaG_Ni_4,-0.0468877100006466,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_131550167,2.533400000000001,1,37.3,1,1,-0.222234,0.004402,169.24116,29,1657.5192,776.55614,0.0,776.55614,1.1442,-157.49878,-42.09471,0.04127427,3.5065833,0.0,217.46,-0.9564779977,0.8722,0.133842,-0.133692,7.5e-05,-7.5e-05,0.267534,3.737848,0.278625,0.0,-119.87583383,6.0400565,8.712519499999999,-16.726903525,-0.00310904,0.003988205,0.0040086029999999995,CC1CC(CC1(C)C(=O)O)(C)C,deltaG_Ni_4,-0.0738716879998264,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_46886335,3.115900000000001,1,72.55000000000001,3,2,-0.23254,-0.00873,256.25839,36,2265.95077,1120.55827,0.0,1120.55827,1.2673,-141.99612,-21.69991,0.0459774,3.00511466,0.0,313.79,-0.6895966233,0.7445,,,,,,,,,-109.69137088,3.902621,9.716899000000002,-18.31320396,-0.00265503,0.0039835955,0.004009322,CCCCCC(N)P(=O)(O)OC1=CC=CC=C1,deltaG_Ni_4,-0.0495144500000606,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_15229140,0.9318999999999997,2,90.39,3,3,-0.223334,-0.046973,204.15933,21,1517.37073,763.74237,17.99694,745.74543,1.5077,-161.2125,18.30196,0.06007706,3.43183953,7.67,206.2,-0.0755552017,0.8361,0.142522,-0.10404,0.019241,-0.019241,0.246562,4.05577,0.261384,0.000751,-111.049362375,7.2842495,9.4939415,-17.35165326,-0.0029086249999999998,0.003982968,0.004008865,C1=CC2=C(C(=C1)O)C(=O)C(=CN2)C(=O)O,deltaG_Ni_4,-0.0521867800002837,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_21316989,0.8860999999999999,0,46.53,2,1,-0.233271,0.00537,131.14998,20,1247.01143,657.54134,0.0,657.54134,1.1785,-156.30837,-35.1777,0.04611911,3.78248699,0.0,184.13,-0.5239785512,0.8521,0.138429,-0.141742,-0.001657,0.001657,0.280171,3.569245,0.281409,5e-06,-110.55827097,6.481901,8.919329,-16.34220716,-0.003150005,0.003986273,0.0040104319999999995,CCC(CC(=O)O)OC,deltaG_Ni_4,-0.0563353980005558,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_101207503,6.417300000000006,0,57.53,2,2,-0.23074,-0.004938,351.54409,64,3645.77448,1808.91031,26.0943,1782.81601,1.0805,-159.96982,25.16364,0.04700919,1.91577078,21.54,485.01,-1.4570940473,0.6333,0.132818,-0.068389,0.032215,-0.032215,0.201207,4.970011,0.289537,0.002579,-116.18057669500001,6.478705,8.8402815,-14.80474002,-0.00309942,0.003987706,0.004009187,C=C(CCCCCCCCCO)C/C=C/CCCCCCCC(=O)O,deltaG_Ni_4,-0.0571964600001138,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_134980494,3.0097000000000005,0,37.3,1,1,-0.217982,-0.019674,181.2519,30,1846.70941,944.29797,0.0,944.29797,1.0998,-158.46895,-17.73607,0.050906,3.06071647,0.0,264.43,-0.7291000747,0.7709,0.129229,-0.106159,0.011535,-0.011535,0.235388,4.248301,0.274667,0.000283,-118.90048745,6.256728000000001,9.2015075,-17.1235857,-0.00317456,0.003985109,0.0040101684999999995,CC/C=C/C=C(\C)/CC(C)C(=O)O,deltaG_Ni_4,-0.061234203999902,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_15551768,2.711300000000002,2,37.3,1,1,-0.225456,0.000563,201.22286,31,1786.16243,807.58592,0.0,807.58592,1.2624,-153.87343,-40.37306,0.04541733,3.40993974,0.0,226.15,-0.8977560757,0.8815,0.138289,-0.129423,0.004433,-0.004433,0.267713,3.73535,0.257473,3.7e-05,-120.76497922,5.291902,8.968627,-18.082418054999998,-0.002909225,0.003989112,0.004009911,CC1CCC2CC1P(=O)(CC2C)O,deltaG_Ni_4,-0.0669432439999582,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_57757382,2.566900000000001,1,46.53,2,1,-0.238492,-0.040529,225.20124,29,1941.2644,949.54984,0.0,949.54984,1.3,-145.88188,-19.09153,0.04801032,3.2112452,0.0,265.9,-0.5727474483,0.7925,,,,,,,,,-114.59497809,4.4873355,9.568742499999999,-18.648813185,-0.002692535,0.0039860534999999996,0.004009443,CCOP(=O)(C1=CC=C(C=C1)C(=C)C)O,deltaG_Ni_4,-0.041494722000607,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_139679772,2.9676200000000015,1,46.53,2,1,-0.235492,-0.004006,213.19051,28,1840.89804,884.72725,0.0,884.72725,1.2977,-145.74995,-32.89457,0.03768089,3.4536336,0.0,247.75,-0.7244923792,0.821,0.158521,-0.13112,0.0137,-0.0137,0.289641,3.45255,0.233513,0.000324,-113.976380065,5.5277395,9.535463,-18.51710813,-0.002878155,0.0039789705,0.0040081974999999995,CC1=CC=CC=C1OP(=O)(C(C)C)O,deltaG_Ni_4,-0.0538501420003285,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_888110,2.6274999999999995,2,66.4,3,2,-0.218382,-0.058738,260.28868,28,2060.69642,1027.99115,16.03616,1011.95499,1.4154,-154.3284,6.73863,0.05332816,2.87416077,20.06,267.81,-0.4031841091,0.7618,,,,,,,,,8.534669000000001,,0.002001667,-0.003349848285,,,,C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)CC(=O)O,deltaG_Ni_4,-0.0556525999998029,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_762407,4.598600000000005,2,37.3,1,1,-0.232555,-0.057088,269.25552,33,2327.0753,1153.72801,0.0,1153.72801,1.2966,-150.7994,-16.15679,0.04619048,2.98416577,0.0,323.08,-0.735658122,0.7361,0.155212,-0.094103,0.030554,-0.030554,0.249315,4.010995,0.22949,0.001872,-108.48780153499999,5.843989499999999,9.288199500000001,-18.411020585000003,-0.002619715,0.003986485499999999,0.0040093605,C1=CC=C(C=C1)C=CP(=O)(/C=C/C2=CC=CC=C2)O,deltaG_Ni_4,-0.0518325600005482,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_132526850,1.6426,2,83.83000000000001,4,2,-0.240309,-0.027649,235.2132,28,1854.90874,908.21444,0.0,908.21444,1.421,-155.51111,-1.22439,0.0585571,3.01162704,14.29,240.04,-0.2724656406,0.8039,0.15306,-0.099903,0.026579,-0.026579,0.252963,3.953142,0.257082,0.001396,-114.42277511500001,6.2256585,9.4639225,-17.444657265,-0.003032205,0.0039857645,0.0040098865,CC1(CCC(=O)O1)C2=C(C=C(C=C2)C(=O)O)O,deltaG_Ni_4,-0.0521956540001156,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_135223210,4.977500000000005,0,72.83000000000001,4,1,-0.281011,0.00286,321.37005,51,2994.91294,1511.17839,0.0,1511.17839,1.2024,-135.97411,-9.86994,0.05005221,2.40076864,0.11,423.07,-0.8450332381,0.6649,0.190708,-0.089486,0.050611,-0.050611,0.280194,3.56896,0.216764,0.004571,-110.49826356,2.607834,10.05968,-19.230846,-0.00263057,0.0039786275,0.004010675,CCCCCCCCCCCC(=O)OP(=O)(O)OCCC,deltaG_Ni_4,-0.0280198300001757,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_68177466,2.5468,2,46.53,2,1,-0.228111,0.001742,225.30454,37,2097.5342,981.27202,0.0,981.27202,1.2037,-158.95383,-23.4996,0.05087222,3.00095879,0.0,274.78,-0.8572735959,0.8075,0.131271,-0.110631,0.01032,-0.01032,0.241902,4.133906,0.275747,0.00022,-119.565960175,6.082242,9.170704,-16.74622796,-0.00320507,0.003977538,0.004008413000000001,C[C@H](C(C)C)OC1CC2CC1CC2C(=O)O,deltaG_Ni_4,-0.0641570880000017,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_101960262,1.8565,3,54.370000000000005,2,1,-0.228286,-0.017941,207.24616,30,1767.56401,816.2215,0.0,816.2215,1.3139,-151.59925,-36.17812,0.04324665,3.37097741,0.0,228.57,-0.7378076179,0.8661,0.139669,-0.124677,0.007496,-0.007496,0.264345,3.782928,0.261962,0.000106,-107.258380325,6.4097185,9.3422005,-18.04915342,-0.003150135,0.0039845720000000005,0.004009022,C1C[C@H]2[C@@H](C1)[C@@]3([C@H]2C(=O)CCC3)C(=O)O,deltaG_Ni_4,-0.0547451500001443,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_170153277,2.0734,0,49.33,1,2,-0.232834,0.002881,192.21604,31,1850.76159,894.39734,0.0,894.39734,1.1638,-150.6988,-33.3825,0.04339486,3.30264419,0.0,250.46,-0.9175348117,0.8151,0.148878,-0.128337,0.010271,-0.010271,0.277215,3.607309,0.248674,0.00019,-117.539284735,5.2648535,9.1453725,-18.522803885000002,-0.002875575,0.003991636999999999,0.0040096415,CCNP(=O)(CC(C)C(C)C)O,deltaG_Ni_4,-0.0666345720001118,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87155777,3.094200000000002,2,46.53,2,1,-0.254117,-0.017354,253.25448,35,2182.69863,994.85458,0.0,994.85458,1.3002,-145.37437,-26.50327,0.04579977,3.14314341,0.0,278.59,-0.8150950818,0.8179,0.17363,-0.116783,0.028424,-0.028424,0.290413,3.443369,0.224529,0.001391,-113.738384715,4.515897,9.5568305,-18.488348395000003,-0.0027278750000000003,0.003984245500000001,0.004008865,C1CCC(CC1)COP(=O)(C2=CC=CC=C2)O,deltaG_Ni_4,-0.0431567799996628,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88448192,1.92508,0,81.32,3,2,-0.243434,0.000614,218.2103,31,1952.71904,956.37092,0.0,956.37092,1.2522,-130.52962,-31.46327,0.03283598,3.14814273,0.0,267.81,-0.6718355922,0.79,0.17081,-0.126509,0.022151,-0.022151,0.297319,3.363389,0.225263,0.000825,-99.148526455,4.8227115000000005,9.5384905,-18.28737679,-0.0030960650000000003,0.003987304,0.0040096895,CCCC(O)P(=O)(CC(CC)C#N)O,deltaG_Ni_4,-0.0536827900000389,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_20533909,1.8618999999999999,2,50.19,2,1,-0.222896,-0.057022,186.18713,22,1552.98879,775.11128,0.0,775.11128,1.3435,-150.46447,-30.25417,0.04150482,3.50356315,0.0,217.05,-0.5584676374,0.8367,0.138251,-0.112526,0.012863,-0.012863,0.250777,3.9876,0.2582,0.00033,-106.63186937500001,6.837334500000001,9.4520335,-18.239665600000002,-0.00308197,0.0039857875,0.0040096505,C1=CC(=C2C=CC=NC2=C1)CC(=O)O,deltaG_Ni_4,-0.0542834759999095,0.55,28,1.91,58.69,4,7.63,18.16,35.19
